"","YEAR","STATE","TYPE.OF.PRODUCER","ENERGY.SOURCE","GENERATION..Megawatthours."
"13773",1998,"WI","Combined Heat and Power, Commercial Power","Petroleum",242
"13774",1998,"WI","Combined Heat and Power, Commercial Power","Wood",2569
"13775",1998,"WV","Total Electric Power Industry","Total",92822186
"13776",1998,"WV","Total Electric Power Industry","Coal",91213355
"13777",1998,"WV","Total Electric Power Industry","Hydro",1086344
"13778",1998,"WV","Total Electric Power Industry","Natural Gas",184473
"13781",1998,"WV","Total Electric Power Industry","Petroleum",200945
"13782",1998,"WV","Electric Generators, Independent Power Producers","Total",945653
"13783",1998,"WV","Electric Generators, Independent Power Producers","Coal",739768
"13784",1998,"WV","Electric Generators, Independent Power Producers","Hydro",203901
"13785",1998,"WV","Electric Generators, Independent Power Producers","Natural Gas",1984
"13786",1998,"WV","Electric Generators, Electric Utilities","Total",89605447
"13787",1998,"WV","Electric Generators, Electric Utilities","Coal",89007644
"13788",1998,"WV","Electric Generators, Electric Utilities","Hydro",361331
"13789",1998,"WV","Electric Generators, Electric Utilities","Natural Gas",42195
"13790",1998,"WV","Electric Generators, Electric Utilities","Petroleum",194277
"13791",1998,"WV","Combined Heat and Power, Industrial Power","Total",1828472
"13792",1998,"WV","Combined Heat and Power, Industrial Power","Coal",1029062
"13793",1998,"WV","Combined Heat and Power, Industrial Power","Hydro",521112
"13794",1998,"WV","Combined Heat and Power, Industrial Power","Natural Gas",134561
"13797",1998,"WV","Combined Heat and Power, Industrial Power","Petroleum",6668
"13798",1998,"WV","Combined Heat and Power, Electric Power","Total",442614
"13799",1998,"WV","Combined Heat and Power, Electric Power","Coal",436881
"13800",1998,"WV","Combined Heat and Power, Electric Power","Natural Gas",5733
"13801",1998,"WY","Total Electric Power Industry","Total",45347296
"13802",1998,"WY","Total Electric Power Industry","Coal",43504063
"13803",1998,"WY","Total Electric Power Industry","Hydro",1342322
"13804",1998,"WY","Total Electric Power Industry","Natural Gas",368414
"13807",1998,"WY","Total Electric Power Industry","Petroleum",45631
"13808",1998,"WY","Total Electric Power Industry","Wind",2045
"13809",1998,"WY","Electric Generators, Independent Power Producers","Total",2045
"13810",1998,"WY","Electric Generators, Independent Power Producers","Wind",2045
"13811",1998,"WY","Electric Generators, Electric Utilities","Total",44699071
"13812",1998,"WY","Electric Generators, Electric Utilities","Coal",43287140
"13813",1998,"WY","Electric Generators, Electric Utilities","Hydro",1342322
"13814",1998,"WY","Electric Generators, Electric Utilities","Natural Gas",26738
"13815",1998,"WY","Electric Generators, Electric Utilities","Petroleum",42871
"13816",1998,"WY","Combined Heat and Power, Industrial Power","Total",646180
"13817",1998,"WY","Combined Heat and Power, Industrial Power","Coal",216923
"13818",1998,"WY","Combined Heat and Power, Industrial Power","Natural Gas",341676
"13821",1998,"WY","Combined Heat and Power, Industrial Power","Petroleum",2760
"13822",1999,"AK","Total Electric Power Industry","Total",5802308
"13823",1999,"AK","Total Electric Power Industry","Coal",523369
"13824",1999,"AK","Total Electric Power Industry","Hydro",816608
"13825",1999,"AK","Total Electric Power Industry","Natural Gas",3588075
"13826",1999,"AK","Total Electric Power Industry","Petroleum",874256
"13827",1999,"AK","Total Electric Power Industry","Wind",0
"13828",1999,"AK","Electric Generators, Electric Utilities","Total",4609315
"13829",1999,"AK","Electric Generators, Electric Utilities","Coal",156188
"13830",1999,"AK","Electric Generators, Electric Utilities","Hydro",816608
"13831",1999,"AK","Electric Generators, Electric Utilities","Natural Gas",2838480
"13832",1999,"AK","Electric Generators, Electric Utilities","Petroleum",798039
"13833",1999,"AK","Electric Generators, Electric Utilities","Wind",0
"13834",1999,"AK","Combined Heat and Power, Industrial Power","Total",813467
"13835",1999,"AK","Combined Heat and Power, Industrial Power","Natural Gas",749595
"13836",1999,"AK","Combined Heat and Power, Industrial Power","Petroleum",63872
"13837",1999,"AK","Combined Heat and Power, Electric Power","Total",226975
"13838",1999,"AK","Combined Heat and Power, Electric Power","Coal",226377
"13839",1999,"AK","Combined Heat and Power, Electric Power","Petroleum",598
"13840",1999,"AK","Combined Heat and Power, Commercial Power","Total",152551
"13841",1999,"AK","Combined Heat and Power, Commercial Power","Coal",140804
"13842",1999,"AK","Combined Heat and Power, Commercial Power","Petroleum",11747
"13843",1999,"AL","Total Electric Power Industry","Total",120657508
"13844",1999,"AL","Total Electric Power Industry","Coal",73754727
"13845",1999,"AL","Total Electric Power Industry","Hydro",7759602
"13846",1999,"AL","Total Electric Power Industry","Natural Gas",3348545
"13847",1999,"AL","Total Electric Power Industry","Nuclear",30892394
"13851",1999,"AL","Total Electric Power Industry","Petroleum",316313
"13852",1999,"AL","Total Electric Power Industry","Wood",4282619
"13853",1999,"AL","Electric Generators, Independent Power Producers","Total",48901
"13854",1999,"AL","Electric Generators, Independent Power Producers","Natural Gas",48901
"13855",1999,"AL","Electric Generators, Electric Utilities","Total",113908581
"13856",1999,"AL","Electric Generators, Electric Utilities","Coal",73220751
"13857",1999,"AL","Electric Generators, Electric Utilities","Hydro",7759602
"13858",1999,"AL","Electric Generators, Electric Utilities","Natural Gas",1881686
"13859",1999,"AL","Electric Generators, Electric Utilities","Nuclear",30892394
"13860",1999,"AL","Electric Generators, Electric Utilities","Petroleum",154148
"13861",1999,"AL","Combined Heat and Power, Industrial Power","Total",5953086
"13862",1999,"AL","Combined Heat and Power, Industrial Power","Coal",421149
"13863",1999,"AL","Combined Heat and Power, Industrial Power","Natural Gas",1264667
"13867",1999,"AL","Combined Heat and Power, Industrial Power","Petroleum",161735
"13868",1999,"AL","Combined Heat and Power, Industrial Power","Wood",3802227
"13869",1999,"AL","Combined Heat and Power, Electric Power","Total",746940
"13870",1999,"AL","Combined Heat and Power, Electric Power","Coal",112827
"13871",1999,"AL","Combined Heat and Power, Electric Power","Natural Gas",153291
"13872",1999,"AL","Combined Heat and Power, Electric Power","Petroleum",430
"13873",1999,"AL","Combined Heat and Power, Electric Power","Wood",480392
"13874",1999,"AR","Total Electric Power Industry","Total",46553939
"13875",1999,"AR","Total Electric Power Industry","Coal",24668807
"13876",1999,"AR","Total Electric Power Industry","Hydro",2694334
"13877",1999,"AR","Total Electric Power Industry","Natural Gas",4542596
"13878",1999,"AR","Total Electric Power Industry","Nuclear",12919550
"13882",1999,"AR","Total Electric Power Industry","Petroleum",159965
"13884",1999,"AR","Total Electric Power Industry","Wood",1560532
"13885",1999,"AR","Electric Generators, Independent Power Producers","Total",1323
"13886",1999,"AR","Electric Generators, Independent Power Producers","Hydro",1323
"13887",1999,"AR","Electric Generators, Electric Utilities","Total",44130705
"13888",1999,"AR","Electric Generators, Electric Utilities","Coal",24612079
"13889",1999,"AR","Electric Generators, Electric Utilities","Hydro",2693011
"13890",1999,"AR","Electric Generators, Electric Utilities","Natural Gas",3764590
"13891",1999,"AR","Electric Generators, Electric Utilities","Nuclear",12919550
"13892",1999,"AR","Electric Generators, Electric Utilities","Petroleum",141475
"13894",1999,"AR","Combined Heat and Power, Industrial Power","Total",2409434
"13895",1999,"AR","Combined Heat and Power, Industrial Power","Coal",56728
"13896",1999,"AR","Combined Heat and Power, Industrial Power","Natural Gas",771664
"13899",1999,"AR","Combined Heat and Power, Industrial Power","Petroleum",17582
"13900",1999,"AR","Combined Heat and Power, Industrial Power","Wood",1560532
"13901",1999,"AR","Combined Heat and Power, Commercial Power","Total",12477
"13902",1999,"AR","Combined Heat and Power, Commercial Power","Natural Gas",6342
"13904",1999,"AR","Combined Heat and Power, Commercial Power","Petroleum",908
"13905",1999,"AZ","Total Electric Power Industry","Total",83893173
"13906",1999,"AZ","Total Electric Power Industry","Coal",38305165
"13907",1999,"AZ","Total Electric Power Industry","Hydro",9758817
"13908",1999,"AZ","Total Electric Power Industry","Natural Gas",5034445
"13909",1999,"AZ","Total Electric Power Industry","Nuclear",30415572
"13911",1999,"AZ","Total Electric Power Industry","Petroleum",50355
"13913",1999,"AZ","Total Electric Power Industry","Solar",0
"13914",1999,"AZ","Electric Generators, Electric Utilities","Total",83095924
"13915",1999,"AZ","Electric Generators, Electric Utilities","Coal",37994159
"13916",1999,"AZ","Electric Generators, Electric Utilities","Hydro",9758817
"13917",1999,"AZ","Electric Generators, Electric Utilities","Natural Gas",4557054
"13918",1999,"AZ","Electric Generators, Electric Utilities","Nuclear",30415572
"13919",1999,"AZ","Electric Generators, Electric Utilities","Petroleum",46287
"13921",1999,"AZ","Electric Generators, Electric Utilities","Solar",0
"13922",1999,"AZ","Combined Heat and Power, Industrial Power","Total",326745
"13923",1999,"AZ","Combined Heat and Power, Industrial Power","Coal",311006
"13924",1999,"AZ","Combined Heat and Power, Industrial Power","Natural Gas",15005
"13925",1999,"AZ","Combined Heat and Power, Industrial Power","Petroleum",734
"13926",1999,"AZ","Combined Heat and Power, Electric Power","Total",434337
"13927",1999,"AZ","Combined Heat and Power, Electric Power","Natural Gas",434337
"13928",1999,"AZ","Combined Heat and Power, Commercial Power","Total",36167
"13929",1999,"AZ","Combined Heat and Power, Commercial Power","Natural Gas",28049
"13931",1999,"AZ","Combined Heat and Power, Commercial Power","Petroleum",3334
"13932",1999,"CA","Total Electric Power Industry","Total",188319223
"13933",1999,"CA","Total Electric Power Industry","Coal",2296082
"13934",1999,"CA","Total Electric Power Industry","Geothermal",13045715
"13935",1999,"CA","Total Electric Power Industry","Hydro",40736667
"13936",1999,"CA","Total Electric Power Industry","Natural Gas",85098862
"13937",1999,"CA","Total Electric Power Industry","Nuclear",33371857
"13941",1999,"CA","Total Electric Power Industry","Petroleum",2137916
"13943",1999,"CA","Total Electric Power Industry","Solar",494996
"13944",1999,"CA","Total Electric Power Industry","Wind",3229953
"13945",1999,"CA","Total Electric Power Industry","Wood",3469703
"13946",1999,"CA","Electric Generators, Independent Power Producers","Total",57911795
"13947",1999,"CA","Electric Generators, Independent Power Producers","Geothermal",11502845
"13948",1999,"CA","Electric Generators, Independent Power Producers","Hydro",1497501
"13949",1999,"CA","Electric Generators, Independent Power Producers","Natural Gas",36094259
"13951",1999,"CA","Electric Generators, Independent Power Producers","Petroleum",840430
"13952",1999,"CA","Electric Generators, Independent Power Producers","Solar",492047
"13953",1999,"CA","Electric Generators, Independent Power Producers","Wind",3226014
"13954",1999,"CA","Electric Generators, Independent Power Producers","Wood",2449308
"13955",1999,"CA","Electric Generators, Electric Utilities","Total",87874809
"13956",1999,"CA","Electric Generators, Electric Utilities","Geothermal",1542870
"13957",1999,"CA","Electric Generators, Electric Utilities","Hydro",39228603
"13958",1999,"CA","Electric Generators, Electric Utilities","Natural Gas",13917748
"13959",1999,"CA","Electric Generators, Electric Utilities","Nuclear",33371857
"13961",1999,"CA","Electric Generators, Electric Utilities","Petroleum",51769
"13963",1999,"CA","Electric Generators, Electric Utilities","Solar",2949
"13964",1999,"CA","Electric Generators, Electric Utilities","Wind",3939
"13965",1999,"CA","Combined Heat and Power, Industrial Power","Total",17544611
"13966",1999,"CA","Combined Heat and Power, Industrial Power","Coal",453635
"13967",1999,"CA","Combined Heat and Power, Industrial Power","Natural Gas",13238362
"13971",1999,"CA","Combined Heat and Power, Industrial Power","Petroleum",484124
"13972",1999,"CA","Combined Heat and Power, Industrial Power","Wood",973831
"13973",1999,"CA","Combined Heat and Power, Electric Power","Total",22963928
"13974",1999,"CA","Combined Heat and Power, Electric Power","Coal",1842447
"13975",1999,"CA","Combined Heat and Power, Electric Power","Natural Gas",20106465
"13978",1999,"CA","Combined Heat and Power, Electric Power","Petroleum",760006
"13979",1999,"CA","Combined Heat and Power, Electric Power","Wood",46564
"13980",1999,"CA","Combined Heat and Power, Commercial Power","Total",2024080
"13981",1999,"CA","Combined Heat and Power, Commercial Power","Hydro",10563
"13982",1999,"CA","Combined Heat and Power, Commercial Power","Natural Gas",1742028
"13985",1999,"CA","Combined Heat and Power, Commercial Power","Petroleum",1587
"13986",1999,"CO","Total Electric Power Industry","Total",39521288
"13987",1999,"CO","Total Electric Power Industry","Coal",32877064
"13988",1999,"CO","Total Electric Power Industry","Hydro",1562485
"13989",1999,"CO","Total Electric Power Industry","Natural Gas",4967383
"13991",1999,"CO","Total Electric Power Industry","Petroleum",46235
"13993",1999,"CO","Electric Generators, Independent Power Producers","Total",178374
"13994",1999,"CO","Electric Generators, Independent Power Producers","Hydro",119059
"13995",1999,"CO","Electric Generators, Independent Power Producers","Natural Gas",59315
"13996",1999,"CO","Electric Generators, Electric Utilities","Total",36167349
"13997",1999,"CO","Electric Generators, Electric Utilities","Coal",32605202
"13998",1999,"CO","Electric Generators, Electric Utilities","Hydro",1443426
"13999",1999,"CO","Electric Generators, Electric Utilities","Natural Gas",2049942
"14001",1999,"CO","Electric Generators, Electric Utilities","Petroleum",32430
"14003",1999,"CO","Combined Heat and Power, Industrial Power","Total",93970
"14004",1999,"CO","Combined Heat and Power, Industrial Power","Natural Gas",80940
"14005",1999,"CO","Combined Heat and Power, Industrial Power","Petroleum",13030
"14006",1999,"CO","Combined Heat and Power, Electric Power","Total",2897278
"14007",1999,"CO","Combined Heat and Power, Electric Power","Coal",271862
"14008",1999,"CO","Combined Heat and Power, Electric Power","Natural Gas",2624805
"14009",1999,"CO","Combined Heat and Power, Electric Power","Petroleum",611
"14010",1999,"CO","Combined Heat and Power, Commercial Power","Total",184317
"14011",1999,"CO","Combined Heat and Power, Commercial Power","Natural Gas",152381
"14013",1999,"CO","Combined Heat and Power, Commercial Power","Petroleum",164
"14014",1999,"CT","Total Electric Power Industry","Total",28596898
"14015",1999,"CT","Total Electric Power Industry","Coal",1486067
"14016",1999,"CT","Total Electric Power Industry","Hydro",421962
"14017",1999,"CT","Total Electric Power Industry","Natural Gas",3601593
"14018",1999,"CT","Total Electric Power Industry","Nuclear",12675262
"14022",1999,"CT","Total Electric Power Industry","Petroleum",8268315
"14024",1999,"CT","Electric Generators, Independent Power Producers","Total",4992718
"14025",1999,"CT","Electric Generators, Independent Power Producers","Coal",0
"14026",1999,"CT","Electric Generators, Independent Power Producers","Hydro",56598
"14027",1999,"CT","Electric Generators, Independent Power Producers","Natural Gas",1334262
"14030",1999,"CT","Electric Generators, Independent Power Producers","Petroleum",2409747
"14031",1999,"CT","Electric Generators, Electric Utilities","Total",20484367
"14032",1999,"CT","Electric Generators, Electric Utilities","Coal",0
"14033",1999,"CT","Electric Generators, Electric Utilities","Hydro",365364
"14034",1999,"CT","Electric Generators, Electric Utilities","Natural Gas",1179841
"14035",1999,"CT","Electric Generators, Electric Utilities","Nuclear",12675262
"14037",1999,"CT","Electric Generators, Electric Utilities","Petroleum",5793975
"14039",1999,"CT","Combined Heat and Power, Industrial Power","Total",330073
"14040",1999,"CT","Combined Heat and Power, Industrial Power","Natural Gas",272021
"14042",1999,"CT","Combined Heat and Power, Industrial Power","Petroleum",58052
"14043",1999,"CT","Combined Heat and Power, Electric Power","Total",2243074
"14044",1999,"CT","Combined Heat and Power, Electric Power","Coal",1469840
"14045",1999,"CT","Combined Heat and Power, Electric Power","Natural Gas",767398
"14046",1999,"CT","Combined Heat and Power, Electric Power","Petroleum",5836
"14047",1999,"CT","Combined Heat and Power, Commercial Power","Total",546666
"14048",1999,"CT","Combined Heat and Power, Commercial Power","Coal",16227
"14049",1999,"CT","Combined Heat and Power, Commercial Power","Natural Gas",48071
"14051",1999,"CT","Combined Heat and Power, Commercial Power","Petroleum",705
"14052",1999,"DC","Total Electric Power Industry","Total",230003
"14053",1999,"DC","Total Electric Power Industry","Petroleum",230003
"14054",1999,"DC","Electric Generators, Electric Utilities","Total",230003
"14055",1999,"DC","Electric Generators, Electric Utilities","Petroleum",230003
"14056",1999,"DE","Total Electric Power Industry","Total",6851738
"14057",1999,"DE","Total Electric Power Industry","Coal",2834711
"14058",1999,"DE","Total Electric Power Industry","Natural Gas",2242791
"14060",1999,"DE","Total Electric Power Industry","Petroleum",1604551
"14061",1999,"DE","Electric Generators, Electric Utilities","Total",6239372
"14062",1999,"DE","Electric Generators, Electric Utilities","Coal",2762460
"14063",1999,"DE","Electric Generators, Electric Utilities","Natural Gas",2242791
"14064",1999,"DE","Electric Generators, Electric Utilities","Petroleum",1234121
"14065",1999,"DE","Combined Heat and Power, Industrial Power","Total",612366
"14066",1999,"DE","Combined Heat and Power, Industrial Power","Coal",72251
"14068",1999,"DE","Combined Heat and Power, Industrial Power","Petroleum",370430
"14069",1999,"FL","Total Electric Power Industry","Total",187263426
"14070",1999,"FL","Total Electric Power Industry","Coal",67629927
"14071",1999,"FL","Total Electric Power Industry","Hydro",140175
"14072",1999,"FL","Total Electric Power Industry","Natural Gas",43166956
"14073",1999,"FL","Total Electric Power Industry","Nuclear",31526285
"14077",1999,"FL","Total Electric Power Industry","Petroleum",37130630
"14078",1999,"FL","Total Electric Power Industry","Wood",2069361
"14079",1999,"FL","Electric Generators, Independent Power Producers","Total",4560102
"14080",1999,"FL","Electric Generators, Independent Power Producers","Natural Gas",1158629
"14083",1999,"FL","Electric Generators, Independent Power Producers","Petroleum",79552
"14084",1999,"FL","Electric Generators, Independent Power Producers","Wood",246892
"14085",1999,"FL","Electric Generators, Electric Utilities","Total",166914264
"14086",1999,"FL","Electric Generators, Electric Utilities","Coal",62680522
"14087",1999,"FL","Electric Generators, Electric Utilities","Hydro",140175
"14088",1999,"FL","Electric Generators, Electric Utilities","Natural Gas",35853511
"14089",1999,"FL","Electric Generators, Electric Utilities","Nuclear",31526285
"14091",1999,"FL","Electric Generators, Electric Utilities","Petroleum",36697343
"14092",1999,"FL","Combined Heat and Power, Industrial Power","Total",6145881
"14093",1999,"FL","Combined Heat and Power, Industrial Power","Coal",322179
"14094",1999,"FL","Combined Heat and Power, Industrial Power","Natural Gas",1642645
"14098",1999,"FL","Combined Heat and Power, Industrial Power","Petroleum",339016
"14099",1999,"FL","Combined Heat and Power, Industrial Power","Wood",1613627
"14100",1999,"FL","Combined Heat and Power, Electric Power","Total",9525895
"14101",1999,"FL","Combined Heat and Power, Electric Power","Coal",4627226
"14102",1999,"FL","Combined Heat and Power, Electric Power","Natural Gas",4427773
"14104",1999,"FL","Combined Heat and Power, Electric Power","Petroleum",14407
"14105",1999,"FL","Combined Heat and Power, Electric Power","Wood",208842
"14106",1999,"FL","Combined Heat and Power, Commercial Power","Total",117284
"14107",1999,"FL","Combined Heat and Power, Commercial Power","Natural Gas",84398
"14109",1999,"FL","Combined Heat and Power, Commercial Power","Petroleum",312
"14110",1999,"GA","Total Electric Power Industry","Total",117338745
"14111",1999,"GA","Total Electric Power Industry","Coal",75144659
"14112",1999,"GA","Total Electric Power Industry","Hydro",2751174
"14113",1999,"GA","Total Electric Power Industry","Natural Gas",3228769
"14114",1999,"GA","Total Electric Power Industry","Nuclear",31478122
"14117",1999,"GA","Total Electric Power Industry","Petroleum",1562467
"14119",1999,"GA","Total Electric Power Industry","Wood",3165459
"14120",1999,"GA","Electric Generators, Independent Power Producers","Total",513264
"14121",1999,"GA","Electric Generators, Independent Power Producers","Hydro",8691
"14122",1999,"GA","Electric Generators, Independent Power Producers","Natural Gas",476107
"14124",1999,"GA","Electric Generators, Independent Power Producers","Petroleum",11737
"14125",1999,"GA","Electric Generators, Electric Utilities","Total",110536794
"14126",1999,"GA","Electric Generators, Electric Utilities","Coal",74067633
"14127",1999,"GA","Electric Generators, Electric Utilities","Hydro",2722553
"14128",1999,"GA","Electric Generators, Electric Utilities","Natural Gas",1653873
"14129",1999,"GA","Electric Generators, Electric Utilities","Nuclear",31478122
"14130",1999,"GA","Electric Generators, Electric Utilities","Petroleum",662699
"14132",1999,"GA","Combined Heat and Power, Industrial Power","Total",5553755
"14133",1999,"GA","Combined Heat and Power, Industrial Power","Coal",1077026
"14134",1999,"GA","Combined Heat and Power, Industrial Power","Hydro",19930
"14135",1999,"GA","Combined Heat and Power, Industrial Power","Natural Gas",391731
"14138",1999,"GA","Combined Heat and Power, Industrial Power","Petroleum",860157
"14139",1999,"GA","Combined Heat and Power, Industrial Power","Wood",3165459
"14140",1999,"GA","Combined Heat and Power, Electric Power","Total",715946
"14141",1999,"GA","Combined Heat and Power, Electric Power","Natural Gas",707058
"14142",1999,"GA","Combined Heat and Power, Electric Power","Petroleum",8888
"14143",1999,"GA","Combined Heat and Power, Commercial Power","Total",18986
"14144",1999,"GA","Combined Heat and Power, Commercial Power","Petroleum",18986
"14145",1999,"HI","Total Electric Power Industry","Total",10403926
"14146",1999,"HI","Total Electric Power Industry","Coal",1440245
"14147",1999,"HI","Total Electric Power Industry","Geothermal",210857
"14148",1999,"HI","Total Electric Power Industry","Hydro",114902
"14151",1999,"HI","Total Electric Power Industry","Petroleum",7995322
"14152",1999,"HI","Total Electric Power Industry","Wind",16494
"14153",1999,"HI","Electric Generators, Independent Power Producers","Total",602820
"14154",1999,"HI","Electric Generators, Independent Power Producers","Geothermal",210857
"14155",1999,"HI","Electric Generators, Independent Power Producers","Hydro",25902
"14157",1999,"HI","Electric Generators, Independent Power Producers","Petroleum",2260
"14158",1999,"HI","Electric Generators, Independent Power Producers","Wind",12699
"14159",1999,"HI","Electric Generators, Electric Utilities","Total",6452068
"14160",1999,"HI","Electric Generators, Electric Utilities","Hydro",18844
"14161",1999,"HI","Electric Generators, Electric Utilities","Petroleum",6429429
"14162",1999,"HI","Electric Generators, Electric Utilities","Wind",3795
"14163",1999,"HI","Combined Heat and Power, Industrial Power","Total",567003
"14164",1999,"HI","Combined Heat and Power, Industrial Power","Coal",16420
"14165",1999,"HI","Combined Heat and Power, Industrial Power","Hydro",70156
"14168",1999,"HI","Combined Heat and Power, Industrial Power","Petroleum",217770
"14169",1999,"HI","Combined Heat and Power, Electric Power","Total",2782035
"14170",1999,"HI","Combined Heat and Power, Electric Power","Coal",1423825
"14172",1999,"HI","Combined Heat and Power, Electric Power","Petroleum",1345863
"14173",1999,"IA","Total Electric Power Industry","Total",38801481
"14174",1999,"IA","Total Electric Power Industry","Coal",33154236
"14175",1999,"IA","Total Electric Power Industry","Hydro",945622
"14176",1999,"IA","Total Electric Power Industry","Natural Gas",507375
"14177",1999,"IA","Total Electric Power Industry","Nuclear",3640258
"14179",1999,"IA","Total Electric Power Industry","Petroleum",136453
"14180",1999,"IA","Total Electric Power Industry","Wind",326354
"14181",1999,"IA","Total Electric Power Industry","Wood",606
"14182",1999,"IA","Electric Generators, Independent Power Producers","Total",344184
"14183",1999,"IA","Electric Generators, Independent Power Producers","Hydro",14549
"14184",1999,"IA","Electric Generators, Independent Power Producers","Petroleum",4944
"14185",1999,"IA","Electric Generators, Independent Power Producers","Wind",324691
"14186",1999,"IA","Electric Generators, Electric Utilities","Total",37032053
"14187",1999,"IA","Electric Generators, Electric Utilities","Coal",31946304
"14188",1999,"IA","Electric Generators, Electric Utilities","Hydro",931073
"14189",1999,"IA","Electric Generators, Electric Utilities","Natural Gas",364434
"14190",1999,"IA","Electric Generators, Electric Utilities","Nuclear",3640258
"14192",1999,"IA","Electric Generators, Electric Utilities","Petroleum",128220
"14193",1999,"IA","Electric Generators, Electric Utilities","Wind",1663
"14194",1999,"IA","Combined Heat and Power, Industrial Power","Total",1153917
"14195",1999,"IA","Combined Heat and Power, Industrial Power","Coal",1027616
"14196",1999,"IA","Combined Heat and Power, Industrial Power","Natural Gas",125659
"14197",1999,"IA","Combined Heat and Power, Industrial Power","Petroleum",36
"14198",1999,"IA","Combined Heat and Power, Industrial Power","Wood",606
"14199",1999,"IA","Combined Heat and Power, Electric Power","Total",157213
"14200",1999,"IA","Combined Heat and Power, Electric Power","Coal",102873
"14202",1999,"IA","Combined Heat and Power, Commercial Power","Total",114114
"14203",1999,"IA","Combined Heat and Power, Commercial Power","Coal",77443
"14204",1999,"IA","Combined Heat and Power, Commercial Power","Natural Gas",17282
"14206",1999,"IA","Combined Heat and Power, Commercial Power","Petroleum",3253
"14207",1999,"ID","Total Electric Power Industry","Total",14436648
"14208",1999,"ID","Total Electric Power Industry","Coal",51887
"14209",1999,"ID","Total Electric Power Industry","Hydro",13499151
"14210",1999,"ID","Total Electric Power Industry","Natural Gas",331610
"14212",1999,"ID","Total Electric Power Industry","Petroleum",244
"14213",1999,"ID","Total Electric Power Industry","Wood",472685
"14214",1999,"ID","Electric Generators, Independent Power Producers","Total",1043186
"14215",1999,"ID","Electric Generators, Independent Power Producers","Hydro",1043186
"14216",1999,"ID","Electric Generators, Electric Utilities","Total",12456120
"14217",1999,"ID","Electric Generators, Electric Utilities","Hydro",12455965
"14218",1999,"ID","Electric Generators, Electric Utilities","Natural Gas",0
"14219",1999,"ID","Electric Generators, Electric Utilities","Petroleum",155
"14220",1999,"ID","Combined Heat and Power, Industrial Power","Total",728553
"14221",1999,"ID","Combined Heat and Power, Industrial Power","Coal",51887
"14222",1999,"ID","Combined Heat and Power, Industrial Power","Natural Gas",165070
"14224",1999,"ID","Combined Heat and Power, Industrial Power","Petroleum",89
"14225",1999,"ID","Combined Heat and Power, Industrial Power","Wood",430436
"14226",1999,"ID","Combined Heat and Power, Electric Power","Total",208789
"14227",1999,"ID","Combined Heat and Power, Electric Power","Natural Gas",166540
"14228",1999,"ID","Combined Heat and Power, Electric Power","Wood",42249
"14229",1999,"IL","Total Electric Power Industry","Total",163410520
"14230",1999,"IL","Total Electric Power Industry","Coal",75089527
"14231",1999,"IL","Total Electric Power Industry","Hydro",142094
"14232",1999,"IL","Total Electric Power Industry","Natural Gas",4996528
"14233",1999,"IL","Total Electric Power Industry","Nuclear",81743889
"14237",1999,"IL","Total Electric Power Industry","Petroleum",400486
"14238",1999,"IL","Total Electric Power Industry","Wood",266
"14239",1999,"IL","Electric Generators, Independent Power Producers","Total",9608640
"14240",1999,"IL","Electric Generators, Independent Power Producers","Coal",8349842
"14241",1999,"IL","Electric Generators, Independent Power Producers","Hydro",86812
"14242",1999,"IL","Electric Generators, Independent Power Producers","Natural Gas",458087
"14243",1999,"IL","Electric Generators, Independent Power Producers","Nuclear",387938
"14245",1999,"IL","Electric Generators, Independent Power Producers","Petroleum",3175
"14246",1999,"IL","Electric Generators, Electric Utilities","Total",149807865
"14247",1999,"IL","Electric Generators, Electric Utilities","Coal",64918712
"14248",1999,"IL","Electric Generators, Electric Utilities","Hydro",52030
"14249",1999,"IL","Electric Generators, Electric Utilities","Natural Gas",3041941
"14250",1999,"IL","Electric Generators, Electric Utilities","Nuclear",81355951
"14252",1999,"IL","Electric Generators, Electric Utilities","Petroleum",372387
"14253",1999,"IL","Electric Generators, Electric Utilities","Wood",0
"14254",1999,"IL","Combined Heat and Power, Industrial Power","Total",2849966
"14255",1999,"IL","Combined Heat and Power, Industrial Power","Coal",1714221
"14256",1999,"IL","Combined Heat and Power, Industrial Power","Natural Gas",742879
"14260",1999,"IL","Combined Heat and Power, Industrial Power","Petroleum",21972
"14261",1999,"IL","Combined Heat and Power, Industrial Power","Wood",266
"14262",1999,"IL","Combined Heat and Power, Electric Power","Total",894504
"14263",1999,"IL","Combined Heat and Power, Electric Power","Coal",62575
"14264",1999,"IL","Combined Heat and Power, Electric Power","Natural Gas",560506
"14266",1999,"IL","Combined Heat and Power, Commercial Power","Total",249545
"14267",1999,"IL","Combined Heat and Power, Commercial Power","Coal",44177
"14268",1999,"IL","Combined Heat and Power, Commercial Power","Hydro",3252
"14269",1999,"IL","Combined Heat and Power, Commercial Power","Natural Gas",193115
"14271",1999,"IL","Combined Heat and Power, Commercial Power","Petroleum",2952
"14272",1999,"IN","Total Electric Power Industry","Total",121764501
"14273",1999,"IN","Total Electric Power Industry","Coal",115209205
"14274",1999,"IN","Total Electric Power Industry","Hydro",406974
"14275",1999,"IN","Total Electric Power Industry","Natural Gas",2109121
"14279",1999,"IN","Total Electric Power Industry","Petroleum",920457
"14280",1999,"IN","Electric Generators, Independent Power Producers","Total",2827543
"14281",1999,"IN","Electric Generators, Independent Power Producers","Coal",2345389
